code,effective_date
600654,2006-10-01
600655,2006-10-01
600660,2006-10-01
600662,2006-10-01
600663,2006-10-01
600674,2006-10-01
600675,2006-10-01
600688,2006-10-01
600690,2006-10-01
600694,2006-10-01
600717,2006-10-01
600718,2006-10-01
600724,2006-10-01
600739,2006-10-01
600740,2006-10-01
600741,2006-10-01
600747,2006-10-01
600754,2006-10-01
600770,2006-10-01
600779,2006-10-01
600780,2006-10-01
600786,2006-10-01
600795,2006-10-01
600797,2006-10-01
600808,2006-10-01
600809,2006-10-01
600811,2006-10-01
600812,2006-10-01
600820,2006-10-01
600832,2006-10-01
600834,2006-10-01
600835,2006-10-01
600839,2006-10-01
600851,2006-10-01
600854,2006-10-01
600863,2006-10-01
600868,2006-10-01
600871,2006-10-01
600874,2006-10-01
600875,2006-10-01
600879,2006-10-01
600881,2006-10-01
600884,2006-10-01
600886,2006-10-01
600887,2006-10-01
600894,2006-10-01
600895,2006-10-01
600900,2006-10-01
600970,2006-10-01
600997,2006-10-01
601006,2006-10-01
601607,2006-10-01
601988,2006-10-01
000001,2006-10-01
000002,2006-10-01
000009,2006-10-01
